date,sn,temperature,ph,ammonia,chloride
"2019-04-05 04:00:00",18013581,28.08,6.68,0.01,93.062
"2019-04-05 04:30:00",18013581,28.08,6.88,0.01,82.858
"2019-04-05 05:00:00",18013581,28.05,6.71,0.01,109.783
"2019-04-05 05:30:00",18013581,28.03,6.88,0.01,92.883
"2019-04-05 06:00:00",18013581,28,6.66,0.02,104.705
"2019-04-05 06:30:00",18013581,27.97,6.88,0.01,87.47
"2019-04-05 07:00:00",18013581,27.93,6.69,0.01,102.614
"2019-04-05 07:30:00",18013581,27.9,6.87,0.01,82.174
"2019-04-05 08:00:00",18013581,27.86,6.66,0.02,117.116
"2019-04-05 08:30:00",18013581,27.71,6.89,0.01,98.773
"2019-04-05 09:00:00",18013581,27.24,6.63,0.01,99.6
"2019-04-05 09:30:00",18013581,26.84,6.85,0.01,92.504
"2019-04-05 10:00:00",18013581,26.5,6.62,0.02,112.826
"2019-04-05 10:30:00",18013581,26.19,6.84,0.01,86.238
"2019-04-05 11:00:00",18013581,25.89,6.62,0.01,94.046
"2019-04-05 11:30:00",18013581,25.65,6.84,0.01,88.182
"2019-04-05 12:00:00",18013581,25.41,6.6,0.02,92.896
"2019-04-05 12:30:00",18013581,25.21,6.84,0.01,83.829
"2019-04-05 13:00:00",18013581,25,6.6,0.01,107.027
"2019-04-05 13:30:00",18013581,24.82,6.85,0.01,93.712
"2019-04-05 14:00:00",18013581,24.66,6.61,0.02,87.171
"2019-04-05 14:30:00",18013581,24.55,6.85,0.01,105.725
"2019-04-05 15:00:00",18013581,24.45,6.67,0.02,82.295
"2019-04-05 15:30:00",18013581,24.39,6.86,0.01,117.426
"2019-04-05 16:00:00",18013581,24.31,6.63,0.02,81.086
"2019-04-05 16:30:00",18013581,24.27,6.85,0.01,100.101
"2019-04-05 17:00:00",18013581,24.27,6.63,0.01,107.682
"2019-04-05 17:30:00",18013581,24.25,6.84,0.01,103.36
"2019-04-05 18:00:00",18013581,24.25,6.63,0.02,104.277
"2019-04-05 18:30:00",18013581,24.24,6.84,0.01,83.184
"2019-04-05 19:00:00",18013581,24.35,6.66,0.01,89.826
"2019-04-05 19:30:00",18013581,24.56,6.85,0.01,116.206
"2019-04-05 20:00:00",18013581,24.82,6.66,0.01,111.541
"2019-04-05 20:30:00",18013581,25.05,6.85,0.01,85.396
"2019-04-05 21:00:00",18013581,25.3,6.65,0.01,105.706
"2019-04-05 21:30:00",18013581,25.51,6.85,0.01,107.087
"2019-04-05 22:00:00",18013581,25.74,6.66,0.01,95.094
"2019-04-05 22:30:00",18013581,25.93,6.84,0.01,82.366
"2019-04-05 23:00:00",18013581,26.12,6.64,0.01,113.592
"2019-04-05 23:30:00",18013581,26.28,6.84,0.01,109.865
"2019-04-06 00:00:00",18013581,26.43,6.65,0.01,97.399
"2019-04-06 00:30:00",18013581,26.56,6.84,0.01,101.906
"2019-04-06 01:00:00",18013581,26.68,6.64,0.01,117.028
"2019-04-06 01:30:00",18013581,26.77,6.82,0.01,111.005
"2019-04-06 02:00:00",18013581,26.85,6.61,0.01,119.355
"2019-04-06 02:30:00",18013581,26.91,6.81,0.01,96.364
"2019-04-06 03:00:00",18013581,26.97,6.62,0.01,104.291
"2019-04-06 03:30:00",18013581,27.01,6.8,0.01,85.144
"2019-04-06 04:00:00",18013581,27.03,6.59,0.01,109.955
"2019-04-06 04:30:00",18013581,27.05,6.8,0.01,107.486
"2019-04-06 05:00:00",18013581,27.05,6.59,0.01,84.946
"2019-04-06 05:30:00",18013581,27.05,6.79,0.01,94.784
"2019-04-06 06:00:00",18013581,27.03,6.57,0.01,96.42
"2019-04-06 06:30:00",18013581,27.01,6.79,0.01,106.79
"2019-04-06 07:00:00",18013581,26.98,6.59,0.01,110.565
"2019-04-06 07:30:00",18013581,26.95,6.78,0.01,83.595
"2019-04-06 08:00:00",18013581,26.92,6.59,0.01,86.369
"2019-04-06 08:30:00",18013581,26.88,6.79,0.01,117.841
"2019-04-06 09:00:00",18013581,26.84,6.59,0.01,82.936
"2019-04-06 09:30:00",18013581,26.82,6.8,0.01,107.722
"2019-04-06 10:00:00",18013581,26.81,6.59,0.01,106.667
"2019-04-06 10:30:00",18013581,26.82,6.79,0.01,115.14
"2019-04-06 11:00:00",18013581,26.86,6.6,0.01,91.459
"2019-04-06 11:30:00",18013581,26.91,6.81,0.01,111.527
"2019-04-06 12:00:00",18013581,26.97,6.6,0.01,89.537
"2019-04-06 12:30:00",18013581,27.05,6.81,0.01,85.586
"2019-04-06 13:00:00",18013581,27.15,6.62,0.01,99.191
"2019-04-06 13:30:00",18013581,27.25,6.81,0.01,110.808
"2019-04-06 14:00:00",18013581,27.39,6.62,0.01,88.248
"2019-04-06 14:30:00",18013581,27.54,6.83,0.01,96.581
"2019-04-06 15:00:00",18013581,27.71,6.64,0.01,99.133
"2019-04-06 15:30:00",18013581,27.88,6.84,0.01,87.412
"2019-04-06 16:00:00",18013581,28.09,6.65,0.01,84.579
"2019-04-06 16:30:00",18013581,28.29,6.85,0.01,116.516
"2019-04-06 17:00:00",18013581,28.53,6.66,0.01,94.611
"2019-04-06 17:30:00",18013581,28.77,6.86,0.01,114.274
"2019-04-06 18:00:00",18013581,29.02,6.65,0.01,90.7
"2019-04-06 18:30:00",18013581,29.26,6.85,0.01,103.897
"2019-04-06 19:00:00",18013581,29.5,6.66,0.01,112.101
"2019-04-06 19:30:00",18013581,29.69,6.84,0.01,83.975
"2019-04-06 20:00:00",18013581,29.86,6.63,0.01,118.823
"2019-04-06 20:30:00",18013581,29.98,6.82,0.01,119.6
"2019-04-06 21:00:00",18013581,30.08,6.63,0.01,87.611
"2019-04-06 21:30:00",18013581,30.14,6.82,0.01,118.309
"2019-04-06 22:00:00",18013581,30.18,6.6,0.01,82.831
"2019-04-06 22:30:00",18013581,30.2,6.8,0.01,86.327
"2019-04-06 23:00:00",18013581,30.18,6.6,0.01,92.666
"2019-04-06 23:30:00",18013581,30.15,6.8,0.01,83.972
"2019-04-07 00:00:00",18013581,30.1,6.59,0.01,109.568
"2019-04-07 00:30:00",18013581,30.05,6.8,0.01,120.056
"2019-04-07 01:00:00",18013581,29.98,6.62,0.01,117.674
"2019-04-07 01:30:00",18013581,29.93,6.8,0.01,109.99
"2019-04-07 02:00:00",18013581,29.85,6.59,0.01,120.063
"2019-04-07 02:30:00",18013581,29.77,6.81,0.01,113.51
"2019-04-07 03:00:00",18013581,29.67,6.6,0.01,113.747
"2019-04-07 03:30:00",18013581,29.57,6.81,0.01,97.902
